rand09,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19632,39463,-2396.331,-0.061,-0.031,43.979,-19.384
1x2 A,20001,40105,-3021.75,-0.075,-0.044,29.924,-17.549
AH H,11638,20948,-3469.505,-0.166,-0.117,41.622,-3.982
AH A,19716,28224,-4980.005,-0.176,-0.101,40.277,-3.348
Overall,70987,128740,-13867.591,-0.108,-0.064,38.604,-11.905
