rand07,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19564,39302,-2566.27,-0.065,-0.035,44.137,-19.226
1x2 A,19880,40033,-2760.17,-0.069,-0.037,30.226,-17.246
AH H,11695,20983,-3883.53,-0.185,-0.136,41.214,-4.390
AH A,19600,28142,-4827.445,-0.172,-0.096,40.378,-3.247
Overall,70739,128460,-14037.415,-0.109,-0.066,38.703,-11.806
