rand10,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19570,39202,-1845.215,-0.047,-0.017,44.844,-18.519
1x2 A,19953,40197,-2956.07,-0.074,-0.042,30.437,-17.036
AH H,11820,21329,-3601.305,-0.169,-0.120,41.878,-3.726
AH A,19740,28342,-5068.93,-0.179,-0.103,40.198,-3.427
Overall,71083,129070,-13471.52,-0.104,-0.061,39.016,-11.492
