rand06,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19634,39340,-2821.68,-0.072,-0.042,43.613,-19.750
1x2 A,20292,40962,-2302.37,-0.056,-0.025,30.337,-17.135
AH H,11775,21071,-3662.955,-0.174,-0.125,41.308,-4.296
AH A,19700,28428,-5113.81,-0.180,-0.104,40.416,-3.208
Overall,71401,129801,-13900.815,-0.107,-0.064,38.578,-11.931
