rand02,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19630,39331,-2103.088,-0.053,-0.024,44.101,-19.262
1x2 A,19855,39833,-4295.35,-0.108,-0.076,29.519,-17.953
AH H,11700,21003,-3810.35,-0.181,-0.133,41.171,-4.433
AH A,19585,28306,-5075.6,-0.179,-0.104,40.521,-3.104
Overall,70770,128473,-15284.388,-0.119,-0.076,38.535,-11.974
