rand01,bets,stake,wins,prop,diff,acc (pc),diff
1x2 H,19651,39544,-2270.173,-0.057,-0.028,44.247,-19.116
1x2 A,20048,40286,-3244.41,-0.081,-0.049,30.163,-17.310
AH H,11680,20872,-4086.35,-0.196,-0.147,40.899,-4.705
AH A,19673,28306,-5116.955,-0.181,-0.105,40.151,-3.473
Overall,71052,129008,-14717.888,-0.114,-0.071,38.589,-11.920
